id,stem,terms,anticipation,joy,trust,fear,sadness,disgust,anger,surprise,positive,negative,none,total
46,Broma,jokes joking joke joked,0,5,0,0,0,0,0,0,0,0,0,5
47,etiqueta,tagging tag tagged tags,1,1,0,0,0,0,0,0,0,0,1,3
48,Comenzado,begun,0,2,0,0,0,0,0,0,0,0,0,2
49,Culinari,culinary,0,3,1,0,0,0,0,0,1,1,3,9
50,Tener,have haves having,0,0,0,0,0,0,0,0,0,0,1,1
51,Para,for,0,0,0,0,0,0,0,0,0,0,3,3
52,Seguro,surely sure,0,2,0,0,0,0,0,0,0,0,0,2
53,Contento,glad,0,7,0,0,0,0,0,0,0,0,1,8
54,En,ons on,0,0,0,0,0,0,0,0,0,0,1,1
55,Su,their theirs,0,0,0,0,0,0,0,1,0,0,10,11
56,Lado,sided sides side siding,0,0,0,0,1,0,0,0,0,0,1,2
57,ha,ha has,0,1,0,0,0,0,0,0,0,0,2,3
58,Tomar,takes take taking,0,0,0,0,0,0,0,0,0,0,1,1
59,Cómo,how hows,0,0,0,0,0,0,0,0,0,0,2,2
60,Nosotros,we,0,0,0,0,0,0,0,0,0,0,4,4
61,Asociar,associating associated association associate associative associations associates,0,1,0,0,0,0,0,0,0,0,2,3
62,Dejar,let letting lets,0,0,0,0,0,0,0,0,0,0,1,1
63,Escoger,choosing choose chooses,0,1,0,0,0,0,0,0,0,0,1,2
64,Nuevo,new,1,2,0,0,0,0,0,0,0,0,0,3
65,Fuente,sourcing source sources sourced,1,3,1,0,0,0,0,0,0,0,0,5
66,Pizza,pizzas pizza,1,4,0,0,0,0,0,0,1,0,3,9
67,Caja,boxing boxed box boxes,0,0,0,0,0,0,0,0,0,0,2,2
68,Bandera,flags flag,1,2,0,0,0,0,0,0,0,0,0,3
69,Empezar,starting started start starts,1,1,0,1,0,0,0,0,0,0,0,3
70,Nos,us,0,1,0,0,0,0,0,0,0,0,4,5
71,Pequeño,little,0,0,0,0,0,1,0,0,0,0,0,1
72,frecuentemente,often,0,0,0,0,0,0,0,0,0,0,2,2
73,Obtener,gets get getting,1,0,0,0,0,0,0,0,0,0,0,1
74,Confundir,confusing confused confuses confusion confuse,0,1,0,0,1,0,0,0,0,0,0,2
75,Encontrar,findings finds finding find,1,2,0,0,0,0,0,1,0,0,0,4
76,Indicar,indicating indication indicated indicators indicate indicative indications indicates indicator indices,1,1,0,0,0,0,0,0,0,0,1,3
77,en lugar de,instead,0,0,0,0,0,0,0,0,0,0,9,9
78,Recordar,reminder reminded remind reminds reminding,0,0,0,0,0,0,0,0,0,0,1,1
79,me,mes me,0,0,0,0,0,0,0,0,0,0,1,1
80,anti,anti,0,0,0,0,0,1,0,0,0,0,1,2
81,invasión,invasions invasion,0,0,0,0,0,0,0,0,0,0,1,1
82,Descarga,dumps dumped dump dumping,0,0,0,2,2,2,0,0,0,0,2,8
83,Gastar,expenses expense expensive,0,0,0,0,1,0,0,0,0,0,0,1
84,Vino,wining wine wines,0,2,0,0,0,0,0,0,0,0,0,2
85,En,into,0,0,0,0,0,0,0,0,0,0,1,1
86,Canal,gutter gutters,0,0,1,0,0,0,0,0,0,0,0,1
87,Quiero,wanting want wants wanted,0,0,0,0,0,0,0,0,0,0,2,2
88,renombrar,renamed renames renaming rename,1,0,0,0,0,0,0,0,0,0,2,3
89,Freir,fries fried fry frying,0,0,0,0,1,0,0,0,0,0,0,1
90,Libertad,freedoms freedom,0,1,1,0,0,0,0,0,0,0,0,2
91,Pero,but buts,0,0,0,0,0,0,0,0,0,0,3,3
92,Realmente,really,0,1,0,0,0,0,0,1,4,2,1,9
93,Sería,would,0,0,0,0,0,0,0,0,0,0,1,1
94,Hamburguesa,burger burgers,1,7,1,0,0,0,0,0,0,0,3,12
95,Pollo,chickened chicken chickens,0,0,0,1,1,0,0,0,0,0,7,9
96,seno,breast,0,0,0,0,0,0,0,0,0,0,2,2
97,queso,cheesed cheeses cheese,0,0,0,0,0,0,0,0,0,0,2,2
98,Un,an,0,0,0,0,0,0,0,0,0,0,7,7
99,Mi,my,0,0,0,0,0,0,0,0,0,0,2,2
100,Sangrar,bleed bleeding bleeds,0,0,0,1,0,0,0,0,0,0,0,1
101,gente,people peoples,0,0,0,0,0,0,0,0,0,0,1,1
102,Maravilloso,wonderful wondered wonder wonderfully wonders wondering,0,0,0,0,0,0,0,0,0,0,2,2
103,Parada,stops stopped stopping stop,0,0,0,0,1,0,0,0,0,0,1,2
104,eso,its it,0,0,1,0,0,0,0,0,0,0,4,5
105,Conseguido,gotten,0,0,0,0,0,0,0,0,0,0,2,2
106,Justo,fair faire fairness,0,1,0,0,0,0,0,0,0,0,0,1
107,Algo,rather,0,0,0,0,0,0,0,0,0,0,1,1
108,Poner,putting put putted puts,0,0,0,0,0,0,0,0,0,0,1,1
109,próximo,next,0,0,0,0,0,0,0,0,0,0,1,1
110,lenguaje,language languages,0,0,0,0,0,0,0,0,0,0,3,3
111,Que,than,0,0,0,0,0,0,0,0,0,0,3,3
112,Si,yes ye,0,5,0,0,0,0,0,0,0,0,3,8
113,Seleccione,selection selected selecting selects selective selectively select selections,2,1,2,0,0,0,0,0,0,0,3,8
114,identifi cación,identifier identified identifies identifiable identify identifying,0,0,0,0,0,0,0,0,0,0,1,1
115,Arriba,top topped topping tops toppings,0,1,0,0,0,0,0,0,0,0,1,2
116,Exponer,posting posted posts post,0,0,0,0,0,0,0,0,0,0,2,2
117,Sub,subbed sub subs,0,0,0,0,0,0,0,0,0,0,1,1
118,lata,cans can,0,0,0,0,0,0,0,0,0,0,2,2
119,Té,tea,0,1,0,0,0,0,0,0,0,0,1,2
120,Caída,fall falls falling,0,0,0,3,2,0,0,0,0,0,0,5
121,aplastar,smash smashing smashed,0,0,0,0,0,0,0,0,0,0,1,1
122,Mientras,while,0,0,0,0,0,0,0,0,0,0,9,9
123,Tres,three,0,0,0,0,0,0,0,0,0,0,2,2
124,Día,days day,0,2,2,0,0,0,0,0,3,3,8,18
125,Bender,bender,0,0,0,0,0,0,0,0,0,0,1,1
126,Estaba,was,0,0,0,0,0,0,0,0,0,0,3,3
127,Asombroso,amaze amazes amazed amazing,0,1,0,0,0,0,0,0,0,0,0,1
128,Otro,another,0,0,0,0,0,0,0,0,0,0,2,2
129,Mes,months month,0,0,0,0,0,0,0,0,0,0,3,3
130,Más tarde,later lateral,0,0,0,0,0,0,0,0,0,0,2,2
131,bonito,pretty,0,3,0,0,0,0,0,0,0,0,1,4
132,Decepcionar,disappointment disappointing disappoint disappointed,0,0,0,0,4,0,2,0,0,0,2,8
133,sentido,way ways,1,0,0,0,0,0,0,0,0,0,8,9
134,Borracho,drunks drunk,0,1,0,0,0,0,0,0,0,0,0,1
135,Correcto,corrected correct correction correcting correctness corrections,0,2,1,0,0,0,0,0,0,0,0,3
136,Pasar,happen happens happenings happened happening,0,0,0,0,1,0,0,0,0,0,1,2
137,Atrás,backed back backing backs,0,0,0,1,0,0,0,0,0,0,0,1
138,Contienen,contain contained contains containing containers container containment,0,0,0,0,0,0,0,0,0,0,1,1
139,Fabrica,factory factories,0,0,0,0,0,0,0,0,0,0,3,3
140,Hecho,made,0,0,0,0,0,0,0,0,0,0,1,1
141,víveres,foods food,0,5,0,0,0,0,0,1,0,0,5,11
142,Artículo,item items,0,2,0,0,0,0,0,0,0,0,1,3
143,Última,last lasts lasting lasted,1,0,0,0,0,0,0,0,0,0,2,3
144,Leer,reads readings read reading,0,2,0,0,0,0,0,0,0,0,1,3
145,Ganar,winning win wins,1,10,0,0,0,0,0,0,4,0,2,17
146,Elegir,elects election elect electable elections electability elective elected electing,2,1,1,0,0,1,0,0,0,0,6,11
147,todos,every,0,0,0,0,0,0,0,0,0,0,1,1
148,hora,times timing time timed timings,1,0,0,0,0,0,0,0,0,0,0,1
149,sujeto,guys guy,0,0,0,0,0,0,0,0,0,0,2,2
150,Morir,dying died dies die,0,0,0,0,0,0,1,0,0,0,0,1
151,Muchacho,lad lads,0,1,0,0,0,0,0,0,0,0,2,3
152,Dijo,said,0,0,0,0,0,0,0,0,0,0,2,2
153,En,at,0,0,0,0,0,0,0,0,0,0,3,3
154,Hacer,making makings makes make,0,0,1,0,0,0,0,0,0,0,2,3
155,Sens,sense senses,1,1,0,0,0,0,0,0,0,0,0,2
156,Ea,ea,0,0,0,0,0,0,0,0,0,0,1,1
157,Miembro,member members,0,0,0,0,0,0,0,0,0,0,1,1
158,Divertido,fun,0,17,0,0,0,0,0,0,2,0,1,20
159,Hecho,fact facts,0,0,0,0,0,0,0,0,0,0,1,1
160,Superior,higher,0,0,0,0,0,0,0,0,0,0,1,1
161,porcentaje,percentage percentages,0,1,0,0,0,1,0,0,0,0,0,2
162,población,populism populations populated populate populous population,0,0,0,0,0,0,0,0,0,0,1,1
163,subscribir,subscribes subscriber subscribe subscribers subscribed subscribing,0,2,0,0,0,1,0,0,0,0,0,3
164,Ll,ll,0,0,0,0,0,0,0,0,0,0,1,1
165,Lei,leis,0,0,0,0,0,0,0,0,0,0,1,1
166,giro,turn turning turns turned,0,0,0,0,0,0,0,0,0,0,1,1
167,Aunque,though,0,0,0,0,0,0,0,0,0,0,1,1
168,Debe,should,1,0,0,0,0,0,0,0,0,0,7,8
169,detonante,triggering triggered triggers trigger,1,0,0,0,0,0,0,0,0,0,1,2
170,más difícil,harder,0,0,2,4,0,0,0,0,8,0,4,18
171,cacerola,pans pan panned,0,0,0,0,0,0,0,0,0,0,1,1
172,Carne,meat meats,0,1,0,0,0,0,0,0,0,0,1,2
173,Llenar,fill fills filled filling,0,1,1,0,0,0,0,0,0,0,0,2
174,Decir,saying say says,0,0,0,0,0,1,0,0,0,0,0,1
175,Nuestro,our ours,1,0,0,0,0,0,0,0,0,0,1,2
176,terrible,terrible terribly,0,0,0,2,0,0,0,0,0,0,0,2
177,final,final finalized finalize finalizing finals finale finality finally finalizes,2,1,0,0,1,0,0,1,0,0,3,8
178,Izquierda,lefts left,0,0,0,0,1,1,0,0,0,0,0,2
179,Congeló,froze,0,0,0,1,0,0,0,0,0,0,3,4
180,Comenzar,begin beginning begins,0,0,2,0,0,0,0,0,0,0,0,2
181,Confuso,unclear,0,0,0,0,0,0,0,0,0,0,1,1
182,Precaliente,preheated,0,0,0,0,0,0,1,0,0,0,0,1
183,Horno,oven ovens,0,0,0,0,0,0,0,1,0,0,0,1
184,recordar,remembering remember remembers remembered,0,2,1,0,0,0,0,0,0,0,0,3
185,Tenía,had,0,0,0,0,0,0,1,0,0,0,3,4
186,Propio,owned owns own owning,0,1,0,0,0,0,0,0,0,0,1,2
187,Sobre,over overs,0,0,0,0,0,0,0,0,0,0,1,1
188,Primero,first,0,0,0,0,0,0,0,0,0,0,1,1
189,Mundo,world worlds,1,1,0,1,0,0,0,0,0,0,5,8
190,realmente,truly,0,0,1,0,0,0,0,0,0,0,0,1
191,Insulto,insulted insults insult insulting,0,0,0,0,0,1,0,0,0,0,0,1
192,joder,fucks fuck fucking fucked,0,0,0,0,1,1,0,0,0,0,0,2
193,Brillante,brilliant,0,3,2,0,0,0,0,0,0,0,0,5
194,Muy bien,nicely nice,0,3,0,0,0,0,0,0,0,0,1,4
195,Cruz,cross crosses crossing crossings crossed,0,1,0,0,0,0,0,0,0,0,1,2
196,También,too,0,0,0,0,0,0,0,0,0,0,2,2
197,inmaduro,immature,0,0,0,1,1,1,1,0,0,0,0,4
198,Retardado,retards retard retarded retardation,0,0,0,0,0,0,1,0,0,0,1,2
199,Parece,seems seem seeming seemed,1,0,0,0,0,0,0,0,0,0,0,1
200,Poco,bit bits,0,1,0,0,0,0,0,0,0,1,7,9
201,Pequeño,petty pettiness,0,0,0,0,0,0,0,0,0,0,1,1
202,autentico,authentic,0,1,0,0,0,0,0,0,0,0,0,1
203,Cheddar,cheddar,0,2,0,0,0,0,0,0,0,0,0,2
204,Divertido,funny funnies,0,1,0,0,0,1,0,0,0,0,0,2
205,Cosas,stuff stuffs,0,0,0,0,1,0,0,0,0,0,0,1
206,Cambio,changing change changes changed,1,0,0,0,0,0,0,0,0,0,1,2
207,Vino,came,0,0,0,0,0,0,0,0,0,0,2,2
208,Otro,other others,0,0,0,0,0,0,0,1,0,0,4,5
209,Origen,origins origin originally originate originated originates original originating,2,0,5,0,0,0,0,0,0,0,3,10
210,además,besides beside,0,1,0,0,0,0,0,0,0,0,1,2
211,Hermoso,beautiful beauty beautifully,0,4,0,0,0,0,0,0,0,0,1,5
212,implicar,implies implied imply implying,2,1,0,0,0,0,0,0,3,1,4,11
213,Inventar,invented invention inventing invent inventiveness inventions invents,3,3,1,0,0,0,0,1,6,0,5,19
214,Cualquiera,any,0,0,0,0,0,0,0,0,0,0,1,1
215,Gitano,gypsy gypsies,0,0,0,0,0,0,1,0,0,0,0,1
216,Robar,stealing steals steal,0,0,0,0,1,0,0,0,0,0,0,1
217,Huérfano,orphan,0,0,0,0,2,0,0,0,0,0,0,2
218,Reina,queen queens,0,3,1,0,0,0,0,0,0,0,7,11
219,Veinte,twenties twenty,0,1,0,0,0,0,0,0,0,0,4,5
220,Libras,quids quid,0,0,0,0,0,0,0,0,0,0,1,1
221,Ejecutar,run runs running,1,0,0,0,0,0,0,0,0,0,0,1
222,Cavar,digs digging dig,2,0,0,0,0,0,0,0,0,0,1,3
223,Caliente,warm warming warmed warms,0,2,0,1,0,0,0,1,0,0,0,4
224,berberecho,cockles,0,1,0,0,0,0,0,0,0,0,1,2
225,Corazón,hearts hearted heart,0,1,0,0,0,0,0,0,0,0,1,2
226,No,cannot,0,0,0,0,0,0,0,0,0,0,2,2
227,Deshacer,undo undoing,0,0,0,0,0,0,0,0,0,0,3,3
228,semestre,semester,0,0,0,0,0,0,0,0,0,0,1,1
229,Tomó,took,0,0,0,0,0,0,0,0,0,0,2,2
230,Alegría,joyfully joy joyful joys,0,1,0,0,0,0,0,0,0,0,0,1
231,Amor,loved loving loves lovely love,0,3,0,0,0,0,0,0,0,0,0,3
232,Una,ones one,1,0,0,0,0,0,0,0,0,0,0,1
233,Cinco,five,0,0,0,0,0,0,0,0,2,1,7,10
234,Saber,knowing knows know,1,1,1,0,0,0,0,0,0,0,0,3
235,Nunca,never,0,0,0,0,0,1,0,0,0,4,3,8
236,Encontrado,founding founds found founded,0,0,0,0,0,0,0,0,0,0,1,1
237,Oh,oh,0,0,0,0,0,0,0,0,0,0,3,3
238,Hola,his hi,0,0,0,0,0,0,0,0,0,0,5,5
239,Tipico,typical typically,0,0,1,0,0,0,0,0,0,0,0,1
240,Incluso,evened evening even evens,0,1,0,0,0,0,0,0,0,0,1,2
241,Producto,productivity production productive productively products product,0,1,1,0,0,0,0,0,0,0,0,2
242,Malo,badness bad,0,0,0,0,1,0,0,0,0,0,1,2
243,especialmente,especially,0,0,0,0,0,0,0,0,0,0,1,1
244,Montón,lot lots,0,2,0,0,0,0,0,0,0,0,1,3
245,subsidio,subsidises subsidise subsidising subsidisation subsidised,0,1,0,0,0,0,0,0,0,0,1,2
246,Cena,dinners dinner,0,0,0,0,0,0,0,0,0,0,1,1
247,Romper,breaking breaks break,0,0,0,1,0,0,0,0,0,0,0,1
248,Trabajo,work working works workings worked,0,1,1,0,0,0,0,0,0,0,0,2
249,grande,big,1,0,0,0,0,0,0,0,0,0,0,1
250,Mucho,much,0,0,0,0,0,0,0,0,0,0,2,2
251,Más,more mores,0,0,0,0,0,0,0,0,0,0,2,2
252,conveniencia,convenience conveniently conveniences convenient,0,1,0,0,0,0,0,0,0,0,0,1
253,Cortar,cutting cut cuts,1,1,0,1,0,0,0,1,0,0,1,5
254,Mantener,keeping keeps keep,0,0,0,0,0,0,0,0,0,0,1,1
255,Mano,hands handing handed handful hand,1,0,0,0,0,0,0,0,0,0,0,1
256,Limpio,cleaning clean,0,1,0,0,0,0,0,0,0,0,1,2
257,Visto,seen,1,1,2,0,0,0,0,3,1,0,3,11
258,em,em,0,0,0,0,0,0,0,0,0,0,2,2
259,instantáneamente,instantly,1,1,1,0,0,0,0,3,3,0,8,17
260,Contra,against,0,0,0,0,0,0,0,0,0,0,1,1
261,Congelado,frozen,0,0,0,0,0,0,0,0,0,0,2,2
262,Forma,shaped shape shaping,0,0,0,0,0,0,0,0,0,0,1,1
263,Ah,ah,0,0,0,0,0,0,0,0,0,0,1,1
264,Lejos,far,0,0,0,0,0,0,0,0,0,0,1,1
265,Brindis,toast toasted,0,0,0,0,0,0,0,0,0,0,1,1
266,Bollo,bun buns,0,0,0,0,0,0,0,1,0,0,8,9
267,Tomate,tomatoes tomato,0,1,0,0,0,0,0,0,0,0,1,2
268,salsa,sauce,0,2,0,0,0,0,0,1,0,0,0,3
269,Salami,salami,0,5,0,0,0,0,0,2,1,0,2,10
270,Ciudad,town towns,1,0,0,0,0,0,0,0,0,0,1,2
271,Mini,mini,0,0,0,0,0,0,0,0,0,0,1,1
272,Cuarto,quarter quarters,0,0,0,0,0,0,0,0,0,0,2,2
273,Libras,pounder,0,0,0,0,0,0,0,0,0,0,1,1
274,Gracias,thanks thankfully thankful thank thanking,0,1,0,0,0,0,0,0,0,0,0,1
275,materia,matter matters mattered mattering,0,0,1,0,0,0,0,0,0,0,1,2
276,convertirse en,became,0,1,0,0,0,0,0,0,0,0,1,2
277,Vender,sells sell selling,0,0,0,0,0,0,0,0,0,0,1,1
278,desamparo,disagree disagrees disagreeing disagreed,0,0,0,0,1,1,0,0,0,0,0,2
279,Decir,meanings meaning means mean,0,0,1,0,0,0,0,0,0,0,1,2
280,Victoria,victories victory victorious,0,0,0,0,0,0,1,0,0,0,1,2
281,Subir,rising rises rise,5,0,0,0,0,0,0,2,2,0,7,16
282,considerar,consider considering considered considers,0,0,0,0,1,0,0,0,0,0,2,3
283,ya,already,0,0,0,0,0,0,0,0,0,0,1,1
284,difícil,tricky,0,0,0,0,0,0,0,0,0,0,2,2
285,Excepto,exception except exceptions exceptionally excepted exceptional,1,1,0,0,5,0,0,0,1,0,1,9
286,tradición,traditions tradition traditionally traditional,0,1,1,0,0,0,0,0,0,0,0,2
287,Fuerza,forcing forceful forced forcefully force forces,0,0,0,0,1,0,0,0,0,0,0,1
288,Por,by,0,0,0,0,0,0,0,0,0,0,3,3
289,Invadir,invaded invade invades invaders invading,0,0,0,0,0,0,0,0,0,0,1,1
290,nadie,nobody nobodies,0,1,0,0,0,0,0,0,0,0,1,2
291,hegemonia,hegemony,0,0,0,0,0,1,0,0,0,0,1,2
292,Incorrecto,wronged wrongfully wrong wrongs,0,0,0,0,1,2,1,0,0,0,0,4
293,inminencia,imminent imminence,1,0,0,0,0,0,0,1,0,0,0,2
294,Sentir,feelings feeling feels feel,0,3,0,0,0,0,0,0,0,0,0,3
295,apenado,ashamed,0,0,0,1,2,2,0,0,0,0,0,5
296,Comprar,buying buys buy,0,0,1,0,0,0,0,0,0,0,0,1
297,Tienda,stored store stores,0,0,0,0,0,0,0,0,0,0,3,3
298,Gente,folks folk,0,0,1,0,0,1,0,0,0,0,0,2
299,Inane,inane inanity inanely,0,0,0,1,0,2,0,0,0,0,0,3
300,celoso,jealous,1,0,0,0,1,0,2,0,0,0,0,4
301,Mantener,maintain maintains maintaining maintained,1,1,0,0,0,0,0,0,0,0,0,2
302,Superior,upper,0,0,0,0,0,0,0,0,0,0,2,2
303,Labio,lips lip,0,0,0,0,0,0,0,0,0,0,1,1
304,único,uniqueness uniquely unique,0,1,0,0,0,0,0,0,0,0,2,3
305,atrocidad,atrocities atrocity,0,0,0,1,0,0,0,0,0,0,0,1
306,Taco,tacos taco,0,1,0,0,0,0,0,0,0,0,1,2
307,venirse,comes coming come,0,0,0,0,0,0,0,0,0,0,2,2
308,Cerrar,close closes closeness closing closely closed,0,0,1,0,0,0,1,0,0,0,2,4
309,Segundo,second secondment seconded seconds,0,0,0,0,0,0,1,0,0,0,1,2
310,Causa,cause causing causes caused,1,0,0,0,0,0,0,0,0,0,0,1
311,salsa de tomate,ketchup,0,2,0,0,0,0,0,0,0,0,1,3
312,Sándwich,sandwiches sandwich,0,2,0,0,0,0,0,0,0,0,1,3
313,Dos,two,0,0,0,0,0,0,0,0,3,0,7,10
314,diminuto,tiny,0,0,0,0,0,0,0,0,0,0,2,2
315,Fácil,easy,0,2,0,0,0,0,0,0,0,0,0,2
316,Mantener,hold holding holds holdings,0,0,0,0,0,0,0,0,0,0,3,3
317,clasifi,classy,0,2,1,0,0,0,0,0,0,0,1,4
318,Pescado,fish fishing fished,0,5,1,0,0,0,0,0,2,1,2,11
319,papas fritas,chips chip chipping,1,0,0,0,0,1,0,1,1,1,5,10
320,Yanqui,yank yanks,0,0,0,0,0,1,0,0,0,0,1,2
321,Carrera,race races racing,1,1,0,0,0,0,0,0,0,0,1,3
322,Local,locale localization locality locals locales locally local,0,0,0,0,0,0,0,0,0,0,1,1
323,Caso,casing case cases,0,0,0,0,0,0,0,0,0,0,1,1
324,Seta,mushrooms mushroom,1,0,0,0,0,0,0,0,0,0,3,4
325,tal vez,maybes maybe,0,0,0,0,0,0,0,0,0,0,2,2
326,dentro,insider inside,0,0,0,0,0,0,1,0,0,0,1,2
327,Dios,god gods,0,1,1,0,0,0,0,0,0,0,2,4
328,Nunca,ever,0,0,0,0,0,0,0,0,0,0,2,2
329,Súplicas,please pleased pleasing pleases,0,2,0,0,0,0,0,0,0,0,0,2
330,Adelante,forwards forward,1,2,2,0,0,0,0,0,4,0,1,10
331,A través de,across,0,0,0,0,0,0,0,0,0,0,1,1
332,se suponía,supposed supposes supposing suppose,0,0,0,0,0,0,0,0,0,0,1,1
333,peor,worse,0,0,0,0,1,0,1,0,0,0,1,3
334,Camino,path paths,4,1,1,1,0,0,0,0,2,2,7,18
335,Bajo,under,2,0,0,3,0,0,0,0,1,3,9,18
336,Dictadura,dictatorship dictatorships,1,0,0,0,0,0,0,0,0,0,2,3
337,Votante,voter voters,0,1,0,0,0,0,0,0,0,0,1,2
338,sexi,sexy,0,2,0,0,0,0,0,0,0,0,0,2
339,encontrar,encountered encounter,1,1,0,0,0,0,0,0,0,0,0,2
340,Raro,weirder,0,0,0,0,0,0,0,0,0,0,1,1
341,Vapor,steamed steaming steams steam,0,0,0,0,1,0,0,0,0,0,0,1
342,Juego,game games gaming,2,8,0,0,0,0,0,1,2,0,4,17
343,Anterior,earlier,0,0,0,0,0,0,0,0,0,0,3,3
344,año,year years,0,0,0,0,1,0,0,0,0,0,2,3
345,hizo,did,0,1,0,0,0,0,0,0,0,0,9,10
346,Casa,housing house housed houses,0,0,0,0,0,0,0,0,0,0,2,2
347,Representante,reps rep,0,2,0,0,0,0,0,0,0,0,1,3
348,Cafetería,cafeteria,0,1,0,0,0,0,0,0,0,0,0,1
349,Dio,gave,0,1,0,0,0,0,0,0,0,0,1,2
350,Pensé,thought thoughts thoughtful,0,1,0,0,1,0,0,0,0,0,0,2
351,Después,after,0,0,0,0,0,0,0,0,0,0,2,2
352,Muy,very,0,1,0,0,0,0,0,0,0,0,1,2
353,Momento,moment moments,1,1,0,0,0,0,0,0,0,0,0,2
354,Trato,dealing deal deals dealings,0,0,0,1,0,0,0,0,0,0,0,1
355,problema,issue issuing issued issues,0,1,0,2,1,0,0,0,0,0,0,4
356,Nombre,name named naming namely names,0,1,0,0,0,0,0,0,0,0,2,3
357,Dar,give gives giving,0,0,0,0,0,0,0,0,0,0,1,1
358,Patata,potatoes potato,0,5,2,0,0,0,0,0,0,0,5,12
359,Movimiento,movements movement,0,0,0,0,0,0,0,0,0,0,1,1
360,Infantil,childish,1,3,1,0,1,3,1,1,0,1,4,16
361,ridiculizar,ridiculed ridiculing ridiculous ridiculousness ridicule ridiculously ridicules,0,0,0,0,1,0,0,0,0,0,0,1
362,Avergonzar,embarrass embarrasses embarrassed embarrassing embarrassment,0,0,0,0,2,0,0,0,0,0,1,3
363,Podría,might,0,0,0,0,0,0,0,0,0,0,3,3
364,Más cercano,closest,0,1,0,0,0,0,0,0,0,0,1,2
365,Fuerte,strongest,0,0,0,0,0,0,0,0,0,0,1,1
366,Conducir,led,0,0,0,0,0,0,0,0,0,0,2,2
367,directamente,directly,0,1,0,0,0,0,0,0,0,0,2,3
368,Nación,national nation nationalize nationalized nations nationalization nationality nationalities nationalism nationally nationalizing nationals nationalisms,0,1,1,0,0,0,0,0,0,0,0,2
369,revolución,revolution revolutions,0,0,1,0,0,0,0,0,0,0,1,2
370,Horror,horror horrors,0,0,0,1,0,0,0,0,0,0,0,1
